592.225,308.102,171.576,83.673,40.150,18.932
590.152,310.458,196.070,91.806,42.698,19.808
582.566,309.751,172.482,83.194,42.060,20.348
586.584,309.220,172.013,83.571,41.282,21.748
586.290,304.943,171.706,84.176,41.946,21.603
590.676,310.940,172.652,84.796,41.504,21.391
8.422,9.227,10.456,8.821,9.313,12.122
7.629,13.344,23.602,19.579,10.445,12.614
7.718,9.471,9.885,8.795,12.901,13.283
7.610,9.055,10.836,8.471,11.977,12.416
7.555,11.714,10.464,9.398,9.403,10.724
7.932,9.632,11.018,9.872,11.565,12.902
8.815,8.538,9.175,8.854,9.096,8.221
9.576,10.165,13.204,13.431,10.132,9.243
9.688,9.558,10.083,9.402,10.107,9.710
11.396,11.471,11.885,11.927,11.400,10.630
12.024,12.120,12.527,12.407,11.808,11.122
11.829,12.173,12.734,12.544,11.942,11.160
